freq_GHz,S11_dB,S21_dB
2.329499999999999904e+00,-2.339234916860019098e+01,-1.229034981507203472e+00
2.341750000000000220e+00,-2.297364684474841567e+01,-1.233488876283253655e+00
2.354000000000000092e+00,-2.253451175545671958e+01,-1.237937536560426821e+00
2.366249999999999964e+00,-2.207902419546245198e+01,-1.242381003145758056e+00
2.378499999999999837e+00,-2.161141566264407743e+01,-1.246819316318817261e+00
2.390750000000000153e+00,-2.113602971928532526e+01,-1.251252515841204671e+00
2.403000000000000025e+00,-2.065728181679777720e+01,-1.255680640965828765e+00
2.415249999999999897e+00,-2.017961845550219380e+01,-1.260103730445971237e+00
2.427500000000000213e+00,-1.970747605721890139e+01,-1.264521822544144136e+00
2.439750000000000085e+00,-1.924523993107441555e+01,-1.268934955040748491e+00
2.451999999999999957e+00,-1.879720371206863661e+01,-1.273343165242535324e+00
2.464249999999999829e+00,-1.836752964757474871e+01,-1.277746489990877699e+00
2.476500000000000146e+00,-1.796021009910069566e+01,-1.282144965669858028e+00
2.488750000000000018e+00,-1.757903061540065792e+01,-1.286538628214175084e+00
2.500999999999999890e+00,-1.722753491849084639e+01,-1.290927513116876479e+00
2.513250000000000206e+00,-1.690899212643047278e+01,-1.295311655436921061e+00
2.525500000000000078e+00,-1.662636651603990856e+01,-1.299691089806574773e+00
2.537749999999999950e+00,-1.638229010523512130e+01,-1.304065850438646423e+00
2.549999999999999822e+00,-1.617903830857713388e+01,-1.308435971133565578e+00
2.562250000000000139e+00,-1.601850889121005039e+01,-1.312801485286308578e+00
2.574500000000000011e+00,-1.590220441585259614e+01,-1.317162425893173783e+00
2.586749999999999883e+00,-1.583121834519929472e+01,-1.321518825558414711e+00
2.599000000000000199e+00,-1.580622492827678371e+01,-1.325870716500729962e+00
2.611250000000000071e+00,-1.582747296430117956e+01,-1.330218130559615464e+00
2.623499999999999943e+00,-1.589478350171762777e+01,-1.334561099201585499e+00
2.635749999999999815e+00,-1.600755149370467123e+01,-1.338899653526258060e+00
2.648000000000000131e+00,-1.616475139483106105e+01,-1.343233824272319854e+00
2.660250000000000004e+00,-1.636494664709887559e+01,-1.347563641823360303e+00
2.672499999999999876e+00,-1.660630296763215696e+01,-1.351889136213590747e+00
2.684750000000000192e+00,-1.688660531510702612e+01,-1.356210337133441524e+00
2.697000000000000064e+00,-1.720327837799280246e+01,-1.360527273935046022e+00
2.709249999999999936e+00,-1.755341039509880474e+01,-1.364839975637613723e+00
2.721499999999999808e+00,-1.793378008809948554e+01,-1.369148470932691986e+00
2.733750000000000124e+00,-1.834088645692604302e+01,-1.373452788189322593e+00
2.745999999999999996e+00,-1.877098116243354653e+01,-1.377752955459094375e+00
2.758249999999999869e+00,-1.922010319682028268e+01,-1.382049000481094136e+00
2.770500000000000185e+00,-1.968411552111700757e+01,-1.386340950686758777e+00
2.782750000000000057e+00,-2.015874333086846804e+01,-1.390628833204631931e+00
2.794999999999999929e+00,-2.063961359606968671e+01,-1.394912674865024460e+00
2.807249999999999801e+00,-2.112229550963412805e+01,-1.399192502204585464e+00
2.819500000000000117e+00,-2.160234147026627838e+01,-1.403468341470782477e+00
2.831749999999999989e+00,-2.207532822066913880e+01,-1.407740218626292394e+00
2.843999999999999861e+00,-2.253689776057976601e+01,-1.412008159353311587e+00
2.856250000000000178e+00,-2.298279765620918624e+01,-1.416272189057778519e+00
2.868500000000000050e+00,-2.340892037324556441e+01,-1.420532332873515102e+00
2.880749999999999922e+00,-2.381134126961128317e+01,-1.424788615666291669e+00
2.892999999999999794e+00,-2.418635489656081106e+01,-1.429041062037811116e+00
2.905250000000000110e+00,-2.453050927235393530e+01,-1.433289696329618224e+00
2.917499999999999982e+00,-2.484063781149046690e+01,-1.437534542626936140e+00
2.929749999999999854e+00,-2.511388861417837859e+01,-1.441775624762427821e+00
2.942000000000000171e+00,-2.534775084512296672e+01,-1.446012966319889514e+00
2.954250000000000043e+00,-2.554007795764751876e+01,-1.450246590637873201e+00
2.966499999999999915e+00,-2.568910754833444088e+01,-1.454476520813241969e+00
2.978749999999999787e+00,-2.579347765854220498e+01,-1.458702779704660335e+00
2.991000000000000103e+00,-2.585223937201737243e+01,-1.462925389936019060e+00
3.003249999999999975e+00,-2.586486559208088565e+01,-1.467144373899796239e+00
3.015499999999999847e+00,-2.583125591720405012e+01,-1.471359753760359546e+00
3.027750000000000163e+00,-2.575173756987782170e+01,-1.475571551457203867e+00
3.040000000000000036e+00,-2.562706237018390354e+01,-1.479779788708134758e+00
3.052249999999999908e+00,-2.545839978206051768e+01,-1.483984487012390385e+00
