freq_GHz,S11_dB
1.974599999999999911e+00,-7.036885965337705606e+00
1.977200000000000069e+00,-7.096159979410050056e+00
1.979800000000000004e+00,-7.152582030862575380e+00
1.982399999999999940e+00,-7.206227559943573446e+00
1.985000000000000098e+00,-7.257174833408959636e+00
1.987600000000000033e+00,-7.305504481312823373e+00
1.990199999999999969e+00,-7.351299052585915206e+00
1.992799999999999905e+00,-7.394642590616690825e+00
1.995400000000000063e+00,-7.435620229844029261e+00
1.997999999999999998e+00,-7.474317814171320684e+00
2.000599999999999934e+00,-7.510821537819448501e+00
2.003200000000000092e+00,-7.545217609052405905e+00
2.005799999999999805e+00,-7.577591937034773295e+00
2.008399999999999963e+00,-7.608029841915820768e+00
2.011000000000000121e+00,-7.636615788081351219e+00
2.013599999999999834e+00,-7.663433140371881613e+00
2.016199999999999992e+00,-7.688563942934882434e+00
2.018800000000000150e+00,-7.712088720259754560e+00
2.021399999999999864e+00,-7.734086299837093392e+00
2.024000000000000021e+00,-7.754633655788596869e+00
2.026600000000000179e+00,-7.773805772730631780e+00
2.029199999999999893e+00,-7.791675529062690231e+00
2.031800000000000050e+00,-7.808313598811548850e+00
2.034400000000000208e+00,-7.823788371112421203e+00
2.036999999999999922e+00,-7.838165886369356627e+00
2.039600000000000080e+00,-7.851509788108122834e+00
2.042199999999999793e+00,-7.863881289515147088e+00
2.044799999999999951e+00,-7.875339153645311896e+00
2.047400000000000109e+00,-7.885939686278768512e+00
2.049999999999999822e+00,-7.895736740411918753e+00
2.052599999999999980e+00,-7.904781731379456389e+00
2.055200000000000138e+00,-7.913123661622462279e+00
2.057799999999999851e+00,-7.920809154141073449e+00
2.060400000000000009e+00,-7.927882493698672484e+00
2.063000000000000167e+00,-7.934385674877252548e+00
2.065599999999999881e+00,-7.940358456119832375e+00
2.068200000000000038e+00,-7.945838418935063707e+00
2.070800000000000196e+00,-7.950861031480796370e+00
2.073399999999999910e+00,-7.955459715786904695e+00
2.076000000000000068e+00,-7.959665917922472467e+00
2.078599999999999781e+00,-7.963509180458146375e+00
2.081199999999999939e+00,-7.967017216620561726e+00
2.083800000000000097e+00,-7.970215985581813989e+00
2.086399999999999810e+00,-7.973129768372701598e+00
2.088999999999999968e+00,-7.975781243953451671e+00
2.091600000000000126e+00,-7.978191565019666420e+00
2.094199999999999839e+00,-7.980380433164002696e+00
2.096799999999999997e+00,-7.982366173055358338e+00
2.099400000000000155e+00,-7.984165805336989052e+00
2.101999999999999869e+00,-7.985795117982763536e+00
2.104600000000000026e+00,-7.987268735886664750e+00
2.107200000000000184e+00,-7.988600188494459964e+00
2.109799999999999898e+00,-7.989801975318247429e+00
2.112400000000000055e+00,-7.990885629204169227e+00
2.115000000000000213e+00,-7.991861777251081378e+00
2.117599999999999927e+00,-7.992740199303277393e+00
2.120200000000000085e+00,-7.993529883963574001e+00
2.122799999999999798e+00,-7.994239082094170001e+00
