freq_GHz,S11_dB,S21_dB,Z0_ohm
1.569333333333333247e+00,-1.573613796757385330e+01,-6.854418925804606211e-01,5.882573097937386564e+01
1.575666666666666549e+00,-1.572738990396278425e+01,-6.873770812332615776e-01,5.906956382595308241e+01
1.582000000000000073e+00,-1.578891066814804844e+01,-6.893099377596481059e-01,5.928763328096825802e+01
1.588333333333333153e+00,-1.591995321624672144e+01,-6.912404742896774978e-01,5.947855880119706029e+01
1.594666666666666455e+00,-1.611854908175103418e+01,-6.931687028422278685e-01,5.964113168488481875e+01
1.600999999999999979e+00,-1.638154295935796512e+01,-6.950946353264538802e-01,5.977432272373321354e+01
1.607333333333333281e+00,-1.670464814027410583e+01,-6.970182835432183754e-01,5.987728871856086243e+01
1.613666666666666583e+00,-1.708252182505730232e+01,-6.989396591865000286e-01,5.994937781738657634e+01
1.620000000000000107e+00,-1.750885899083010244e+01,-7.008587738447762394e-01,5.999013364214135891e+01
1.626333333333333186e+00,-1.797650316371888835e+01,-7.027756390023840449e-01,5.999929817788390096e+01
1.632666666666666488e+00,-1.847757215036743617e+01,-7.046902660408574937e-01,5.997681340622872170e+01
1.639000000000000012e+00,-1.900359651955738727e+01,-7.066026662402427050e-01,5.992282167264602322e+01
1.645333333333333314e+00,-1.954566840096337899e+01,-7.085128507803911679e-01,5.983766478530815647e+01
1.651666666666666616e+00,-2.009459798680997267e+01,-7.104208307422325008e-01,5.972188185118741188e+01
1.657999999999999918e+00,-2.064107498686440323e+01,-7.123266171090243404e-01,5.957620586310459032e+01
1.664333333333333220e+00,-2.117583220017617762e+01,-7.142302207675840231e-01,5.940155905933460190e+01
1.670666666666666522e+00,-2.168980832978469664e+01,-7.161316525094980623e-01,5.919904708514641811e+01
1.677000000000000046e+00,-2.217430717991597078e+01,-7.180309230323133063e-01,5.896995199323919223e+01
1.683333333333333348e+00,-2.262115043874614173e+01,-7.199280429407081128e-01,5.871572412738697722e+01
1.689666666666666428e+00,-2.302282136250351385e+01,-7.218230227476447602e-01,5.843797294067484671e+01
1.695999999999999952e+00,-2.337259683653481446e+01,-7.237158728755034298e-01,5.813845680645350456e+01
1.702333333333333254e+00,-2.366466549316518453e+01,-7.256066036571973132e-01,5.781907188651714335e+01
1.708666666666666556e+00,-2.389422981114918088e+01,-7.274952253372714006e-01,5.748184012697688416e+01
